resourceId,name,area,description,resourceCategoryId,resourceModel,feeScheduleId,order,maxStay,minCapacity,maxCapacity,zoneCapacity,allowedEquipment,Adjacent To,Barrier Free,Conditions,Cooking Facilities,Dogs Allowed,Double Site,Electrical Service,Exposure,Fee Type,Fire Pit,Fire Pit Available,Fire Pit Location,Ground Cover,Number of Tent Pads,Obstructions,Off-Site Vehicle Parking,On-Site Vehicle Parking,Pad Slope,Park-Private,Picnic Table,Privacy,Pull-through,Quality,Restrictions,Roofed Barrier Free,Rooms,Service Type,Shoreline Access,Shower Distance (m),Shower Type,Site Length (m),Site Shade,Site Width (m),Sleeping Configuration,Swimming Conditions,Toilet,Toilet Distance (m),Toilet Type,Water Tap,Water Tap Distance (m),photo1,photo2,photo3,photo4,photo5,photo6
-2147475340,H54 A.Y. Jackson L.,A.Y. Jackson L.,,-2147483640,2,-32736,9540,1,1,6,1,,"Body of Water, Sentier multi-usage",No,,,,No,,South,Regular Rate,Rocks,Yes,Back Centre,Rock(s),,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,,,,,,
-2147475300,H3 Acid Lake,Acid Lake,,-2147483640,2,-32736,9030,1,1,6,1,,"Body of Water, Sentier multi-usage",No,,,,No,,West,Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",2,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,,,,,,
-2147475141,H4 Acid Lake,Acid Lake,,-2147483640,2,-32736,9040,1,1,6,1,,"Body of Water, Sentier multi-usage",No,,,,No,,,Regular Rate,Rocks,Yes,,"Soil, Rock(s)",,"Rock(s), Tree(s)",,,,,No,,,Good,"Tents Only, Generator Free",,,,,,,,,,,Rock Shoreline,,,,,,,,,,,
-2147459697,81 - Baie Fine,Baie Fine,,-2147483641,2,-32736,3810,,1,9,1,,Body of Water,No,Above Avg. Vehicular Traffic,,,No,,"North, East",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,Tree(s),,,Moderate,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Soft Bottom,,,Privy Box,,,https://reservations.ontarioparks.ca/images/57aaced1-8037-43b3-b474-4103bea60b8c.jpg,https://reservations.ontarioparks.ca/images/f0db4b86-5efb-4f2f-9bcd-4f0c1f19f3f3.jpg,https://reservations.ontarioparks.ca/images/265dab67-3a7d-4d1b-b17b-d9d2849c6e32.jpg,https://reservations.ontarioparks.ca/images/08584e32-e42c-44c8-bceb-750c7103beae.jpg,https://reservations.ontarioparks.ca/images/251b4998-2943-43ad-845a-fbe01f8af94a.jpg,
-2147459696,82 - Baie Fine,Baie Fine,,-2147483641,2,-32736,3820,,1,9,1,,Body of Water,No,Above Avg. Vehicular Traffic,,,No,,North,Regular Rate,Rocks,Yes,Front Left,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Light Current,,,Privy Box,,,https://reservations.ontarioparks.ca/images/94485355-a2b3-4ee7-a440-e4590bb54d89.jpg,https://reservations.ontarioparks.ca/images/20742750-0958-4c81-bf1f-d5591440eec5.jpg,https://reservations.ontarioparks.ca/images/7261e049-8c63-4e63-b9f4-e7fc58734709.jpg,https://reservations.ontarioparks.ca/images/2e7f49ed-7d34-416c-80ce-22fd8232b26e.jpg,https://reservations.ontarioparks.ca/images/c4ad0477-739e-4469-b32b-61f465888749.jpg,
-2147459695,83 - Baie Fine,Baie Fine,,-2147483641,2,-32736,3830,,1,9,1,,Body of Water,No,Above Avg. Vehicular Traffic,,,No,,South,Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Light Current,,,Privy Box,,,https://reservations.ontarioparks.ca/images/6e960f6f-6a4c-4226-85f1-5775821b11e0.jpg,https://reservations.ontarioparks.ca/images/3a131bc7-4f23-4a30-9c26-99f7720cea1c.jpg,https://reservations.ontarioparks.ca/images/2aaaf915-17f9-42c7-9eca-1c0af66b98a8.jpg,https://reservations.ontarioparks.ca/images/f207957d-52c0-4fcb-ab90-b93065b851fe.jpg,https://reservations.ontarioparks.ca/images/323faf7f-6697-4f00-a943-1fc61e477997.jpg,
-2147459659,151 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4510,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/e15e53c4-357a-432f-be60-a0882e7c9bec.jpg,https://reservations.ontarioparks.ca/images/349708b6-92de-4c6d-b81f-bc6e6f33bfe3.jpg,https://reservations.ontarioparks.ca/images/6e26481f-4003-49f0-900d-5492e46f09da.jpg,,,
-2147459658,152 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4520,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Back Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/c6d984fb-e498-4d84-8480-33b3d319a73a.jpg,https://reservations.ontarioparks.ca/images/381afb44-7f4f-4643-a995-c26c9f6f1ea5.jpg,https://reservations.ontarioparks.ca/images/1b8d1e45-8c4a-48d7-9387-f284249fceda.jpg,,,
-2147459657,153 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4530,,1,9,1,,Body of Water,No,Island Site,,,No,,"North, East",Regular Rate,Rocks,Yes,Front Centre,Soil,3,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,"Weeds Present, Soft Bottom",,,Privy Box,,,https://reservations.ontarioparks.ca/images/1499f709-844b-4764-8b24-cc81f63a34ee.jpg,https://reservations.ontarioparks.ca/images/6b3191ab-1fd0-489a-a37c-c33f4ad991d8.jpg,https://reservations.ontarioparks.ca/images/e5aea770-8454-475e-af9c-f976d0289444.jpg,https://reservations.ontarioparks.ca/images/1c3e6985-6cc8-421d-a995-9235e91d4e46.jpg,,
-2147459656,154 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4540,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/1dd33bd3-bc33-45c7-bbad-7170179d0218.jpg,https://reservations.ontarioparks.ca/images/244deec2-0363-49d6-870b-b8fbddd197a7.jpg,https://reservations.ontarioparks.ca/images/76f6d988-863b-404f-ae17-d929a7988610.jpg,,,
-2147459654,155 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4550,,1,9,1,,Body of Water,No,Island Site,,,No,,"East, West",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",4,"Tree(s), Root(s), Stumps",,,None,,No,Average,,Average,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/af928dac-53b7-4b83-a9be-01fa497a1288.jpg,https://reservations.ontarioparks.ca/images/f31f8625-1798-4bbd-83f4-d2e8880d1268.jpg,https://reservations.ontarioparks.ca/images/a40aed8c-4334-477e-9be5-276963a51be5.jpg,https://reservations.ontarioparks.ca/images/2bbad2ed-3a87-4a38-85fe-7ef165e9492c.jpg,,
-2147459655,156 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4560,,1,9,1,,Body of Water,No,Island Site,,,No,,East,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s), Stumps",,,None,,No,Average,,Average,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/676c7a00-ed37-4036-b1d0-6f74c4230855.jpg,https://reservations.ontarioparks.ca/images/b5f3dcda-d6ce-4476-b9d5-a52595f47007.jpg,https://reservations.ontarioparks.ca/images/2a764544-1030-49a1-a86d-562fcf91ecfc.jpg,,,
-2147459653,157 - Balsam Lake,Balsam Lake,,-2147483641,2,-32736,4570,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/37109251-334b-409e-90d2-21273214a8e2.jpg,https://reservations.ontarioparks.ca/images/c63bd749-b424-4bab-b491-08b11cfb46a6.jpg,https://reservations.ontarioparks.ca/images/46cbeb41-5300-493e-801f-522576d47644.jpg,,,
-2147459555,421 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7210,,1,9,1,,Body of Water,No,Above Avg. Vehicular Traffic,,,No,,"South, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",3,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/b8ed52f7-f92e-45d5-93ed-260b2b1b827e.jpg,https://reservations.ontarioparks.ca/images/fba2308d-973d-45a5-bbf4-bdfd3c853102.jpg,https://reservations.ontarioparks.ca/images/fb7bcfc4-edee-4942-a3ef-fdcee3b0024c.jpg,https://reservations.ontarioparks.ca/images/cbddd37c-803f-4fa3-8b51-a392fca97786.jpg,https://reservations.ontarioparks.ca/images/c309e0df-bfbc-4c35-aea7-8102c01d2cc0.jpg,
-2147459554,422 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7220,,1,9,1,,Body of Water,No,Above Avg. Vehicular Traffic,,,No,,"South, West",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",3,"Rock(s), Tree(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/146b7385-84cd-4760-a372-184bada48219.jpg,https://reservations.ontarioparks.ca/images/82319645-4dd8-4bfd-bea4-c7b4b4f03089.jpg,https://reservations.ontarioparks.ca/images/1f4d1267-3552-4b25-9b3b-9d7a9e776d3f.jpg,,,
-2147459553,423 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7230,,1,9,1,,Body of Water,No,,,,No,,"South, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",3,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/67e676d8-70b3-483f-adf0-ac1e61489a69.jpg,https://reservations.ontarioparks.ca/images/759c933e-2979-40ff-8cfd-6402ffd4483f.jpg,https://reservations.ontarioparks.ca/images/6f29d6b2-8cce-4c9c-b4a9-cfa20c225a4c.jpg,https://reservations.ontarioparks.ca/images/4d824634-1956-4371-b147-34b620113d9e.jpg,,
-2147459552,424 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7240,,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",5,"Rock(s), Tree(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/a5de2fa3-62d9-4a98-bf9d-f0e79f88c6b8.jpg,https://reservations.ontarioparks.ca/images/5f2fb7b2-b19d-4744-853f-e2a0a5eea650.jpg,https://reservations.ontarioparks.ca/images/e5132a27-01f7-42f4-bbbd-930326e43bc5.jpg,https://reservations.ontarioparks.ca/images/5865fdfd-8c74-4f1b-8953-d9ce805abcdc.jpg,,
-2147459551,425 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7250,,1,9,1,,Body of Water,No,,,,No,,North,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Full Shade,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/bba7ac03-2929-435c-abe9-7d1c0d073fa5.jpg,https://reservations.ontarioparks.ca/images/ef371a8e-ef93-4071-ac3f-cfb9c329927d.jpg,https://reservations.ontarioparks.ca/images/aebf547b-9ee0-4b19-a983-f01e2f109bae.jpg,https://reservations.ontarioparks.ca/images/deda7b0f-b7d1-4923-8a37-c687c0b6c702.jpg,https://reservations.ontarioparks.ca/images/ac9d98c3-7f60-46ed-b1c0-a96020fb4da4.jpg,
-2147459550,426 - Bear Lake,Bear Lake,,-2147483641,2,-32736,7260,,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,"Weeds Present, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/bacdbb5e-041b-46d9-a9ba-669a57369129.jpg,https://reservations.ontarioparks.ca/images/9d35ab19-303a-48c2-b05a-d9bf640cc47f.jpg,https://reservations.ontarioparks.ca/images/0d818da5-805b-4a59-8db4-7a5ccc1ddd8d.jpg,https://reservations.ontarioparks.ca/images/c91bcd97-48de-422a-935f-1d555e25869b.jpg,https://reservations.ontarioparks.ca/images/21f3b7d9-39d9-472a-b847-15c812329b60.jpg,
-2147475133,Bell Lake Access Point,Bell Lake,Bell Access Point.,-2147483641,3,-32736,1,,1,9,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147459675,131 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4310,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Centre,Rock(s),4,"Rock(s), Hill",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/1235969e-fbef-45bd-9f02-289dbbd972ef.jpg,https://reservations.ontarioparks.ca/images/f6743e8d-1bf2-4179-9133-d93ec8cc2163.jpg,,,,
-2147459674,132 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4320,,1,9,1,,Body of Water,No,Above Avg. Pedestrian Traffic,,,No,,East,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/03ea374a-ad43-4d9c-8408-11a65966b758.jpg,https://reservations.ontarioparks.ca/images/11b185c3-8adc-47a8-874f-422d46063996.jpg,https://reservations.ontarioparks.ca/images/e821560a-8386-4089-8b2f-9f364104e706.jpg,,,
-2147459673,133 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4330,,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Rock(s), Tree(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/0f0a30b0-d8b7-48ee-80fb-8a138a59f428.jpg,https://reservations.ontarioparks.ca/images/3b7fdc6e-4918-466c-ae49-f01f07632fba.jpg,https://reservations.ontarioparks.ca/images/5c24786e-8494-4b26-aa39-2d27c8bffe33.jpg,,,
-2147459672,134 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4340,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/38a7a229-86b3-4fda-9dd1-cd70d9fb08b5.jpg,https://reservations.ontarioparks.ca/images/d45a84e1-28a1-40d2-bc31-7fd81183a412.jpg,,,,
-2147459671,135 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4350,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/565cf50c-123b-48f5-85f8-387b433db5b0.jpg,https://reservations.ontarioparks.ca/images/9ec75b96-98fe-41f5-943f-672d4d6b8c3e.jpg,https://reservations.ontarioparks.ca/images/fbb42efe-95a7-4dc9-9383-42520acc5c63.jpg,,,
-2147459670,136 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4360,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/2c72b01a-117d-4609-8b1f-87c9143328bd.jpg,https://reservations.ontarioparks.ca/images/19a93f33-e686-4ff2-a96e-a2fb4e7b653d.jpg,https://reservations.ontarioparks.ca/images/9dd0ba75-4826-46e3-9752-abd282083ebb.jpg,,,
-2147459669,137 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4370,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",5,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/226204d1-1f6a-4991-8c53-9aca17afc035.jpg,https://reservations.ontarioparks.ca/images/af767564-1238-493b-81c8-d55c2a3152c4.jpg,https://reservations.ontarioparks.ca/images/a081116b-cc4a-435b-890c-f4879526d5fe.jpg,,,
-2147459668,138 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4380,,1,9,1,,Body of Water,No,,,,No,,South,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s), Stumps",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/d6e64388-2f7d-4982-90b5-da8e5290df50.jpg,https://reservations.ontarioparks.ca/images/9de79290-6b62-43fa-b52a-5727618a48db.jpg,https://reservations.ontarioparks.ca/images/595dfc47-1172-425b-ad79-41010614ab64.jpg,,,
-2147459667,139 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4390,,1,9,1,,Body of Water,No,,,,No,,South,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,Yes,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/4177421d-66aa-416b-968a-1a95b78d73cc.jpg,https://reservations.ontarioparks.ca/images/483c8b07-f955-459b-b523-a1b11c1171c9.jpg,https://reservations.ontarioparks.ca/images/8f1ba8b3-b217-4241-a60b-49f844039fbb.jpg,,,
-2147459666,140 - Bell Lake,Bell Lake,,-2147483641,2,-32736,4400,,1,9,1,,Body of Water,No,,,,No,,West,Regular Rate,Rocks,Yes,Back Centre,Rock(s),4,"Tree(s), Hill",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/0faeebf7-a252-424b-b093-3436e4ccadf9.jpg,https://reservations.ontarioparks.ca/images/636448cd-f05e-49b5-a8ab-a2af39f7b061.jpg,https://reservations.ontarioparks.ca/images/aa881702-6d50-42d4-9eb9-d5fb221379b5.jpg,https://reservations.ontarioparks.ca/images/f613dca6-b568-448e-a8d9-6f568dc97866.jpg,https://reservations.ontarioparks.ca/images/eeed11b1-2318-44eb-b875-570d8a29fe02.jpg,
-2147459136,DVP - Bell Lake,Bell Lake,"This permit is valid only from 8:00 am to the posted day-use closing time.  This permit is not transferrable between other locations in the park including The Crack and Chikanishing Access Points.

Silver Peak Day Trail 6.6 km canoe, 12 km hike (8 hour) strenuous.

This route is considered highly difficult. Know the limits of your physical and paddling abilities and check the weather forecast before setting out. Ensure that you have appropriate safety equipment (PFDs, whistles, etc.). The Silver Peak Day Trail (red markers) is a linear trail, rather than a loop, however it is also part of a 78 km backcountry trail (blue markers). Once you reach the top, it is critical to follow the red markers back the way you came. If you start seeing only blue markers, you’ve gone the wrong way.  Do not attempt this hike in sandals, Crocs, rubber boots, or flipflops. Pack sufficient water or means of purification. Canoe rentals must be arranged in advance.",-2147483585,2,-31568,10000,1,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://reservations.ontarioparks.ca/images/2e3aed03-c3cb-4a1b-adb2-0adbdd74e273.png,,,,,
-2147459114,DVP InPark - Bell Lake,Bell Lake,,-2147483586,2,-31568,11000,1,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147475328,H59 Bodina Lake,Bodina Lake,,-2147483640,2,-32736,9590,,1,6,1,,"Body of Water, Sentier multi-usage",No,,,,No,,"East, South",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",3,"Tree(s), Root(s)",,,Slight,,No,Average,,Good,"Walk In, Generator Free",,,,Easy,,,,Partial Shade,,,Soft Bottom,,,Privy Box,,,,,,,,
-2147459573,325 - Boundary Lake,Boundary Lake,,-2147483641,2,-32736,6250,,1,9,1,,Body of Water,No,,,,No,,North,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/b549d4bb-cce6-4e58-b96c-8a2b6cd556f2.jpg,https://reservations.ontarioparks.ca/images/33328f14-9678-447f-b0bf-523dff8fb491.jpg,https://reservations.ontarioparks.ca/images/bfee36a5-fc4f-4822-b120-d375064fb55a.jpg,,,
-2147475223,H35 Boundary Lake,Boundary Lake,,-2147483640,2,-32736,9350,,1,6,1,,"Body of Water, Sentier multi-usage",No,,,,No,,"South, West",Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",3,"Rock(s), Tree(s), Root(s)",,,Slight,,No,Average,,Average,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/8e404c9d-2d40-4ebf-a066-9b6400f5c923.jpg,https://reservations.ontarioparks.ca/images/27d6780d-5734-4cf6-a9a4-7aeff9b6cfd0.jpg,https://reservations.ontarioparks.ca/images/fa07a85d-7a1a-4040-abb7-d2aaedcccf93.jpg,,,
-2147475282,H45 Bunnyrabbit Lake,Bunnyrabbit Lake,,-2147483640,2,-32736,9450,1,1,6,1,,,No,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147475162,H46 Bunnyrabbit Lake,Bunnyrabbit Lake,,-2147483640,2,-32736,9460,1,1,6,1,,,No,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147475137,Carlyle Lake Access Point,Carlyle Lake,Carlyle Access Point.,-2147483641,3,-32736,2,,1,9,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147459692,101 - Carlyle Lake,Carlyle Lake,,-2147483641,2,-32736,4010,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,Rock(s),,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,"Weeds Present, Soft Bottom",,,Privy Box,,,https://reservations.ontarioparks.ca/images/e76120d6-81c0-400e-82d8-53eb1f62e042.jpg,https://reservations.ontarioparks.ca/images/3b29ef99-132b-4a66-8056-15ab82bfdc06.jpg,https://reservations.ontarioparks.ca/images/952aa287-4335-4efe-8948-9bf745fad2ce.jpg,,,
-2147459691,102 - Carlyle Lake,Carlyle Lake,,-2147483641,2,-32736,4020,,1,9,1,,Body of Water,No,,,,No,,"South, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/865bef4d-17b7-42ed-93ff-4b3137e6f3ab.jpg,https://reservations.ontarioparks.ca/images/1f41f4bc-2c58-46c3-ab58-48d07e56ef97.jpg,https://reservations.ontarioparks.ca/images/fb0cd768-1615-4251-9bbf-7bba772ddd43.jpg,https://reservations.ontarioparks.ca/images/f9d6afd4-197d-4b53-ba05-a663544f0e2e.jpg,,
-2147459690,103 - Carlyle Lake,Carlyle Lake,,-2147483641,2,-32736,4030,,1,9,1,,Body of Water,No,Split Level Site,,,No,,North,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Rock(s), Hill",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/a96c0c1d-0ec3-472d-ad44-c5e9f8130a77.jpg,https://reservations.ontarioparks.ca/images/cf5839d8-e2c9-482e-adaa-1950b8034cc6.jpg,https://reservations.ontarioparks.ca/images/99ed18a2-b328-4a4b-95c4-36e388bd6e13.jpg,,,
-2147459689,104 - Carlyle Lake,Carlyle Lake,,-2147483641,2,-32736,4040,,1,9,1,,Body of Water,No,Split Level Site,,,No,,South,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,"Rock(s), Tree(s), Hill",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Difficult,,,,Partial Shade - PM Sun,,,"Rock Shoreline, Light Current",,,Privy Box,,,https://reservations.ontarioparks.ca/images/b217f9ad-b19a-4aba-a0d7-58ebfb96177b.jpg,https://reservations.ontarioparks.ca/images/7cceda06-4a76-464c-a94a-f7d0da006b97.jpg,https://reservations.ontarioparks.ca/images/5b4c7454-30db-468e-ae2a-c289607a86f1.jpg,https://reservations.ontarioparks.ca/images/292bc572-b92e-4ceb-8d95-209c35698af4.jpg,,
